City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
330,Abu Samrah,SY,35.3029,37.1841,73.96,55,0,3.58,clear sky
331,Taoudenni,ML,22.6783,-3.9836,96.39,12,2,10.13,clear sky
332,Mitsamiouli,KM,-11.3847,43.2844,75.34,79,17,4.38,few clouds
333,Evensk,RU,61.95,159.2333,32.5,90,100,39.06,light snow
334,Djibo,BF,14.1022,-1.6306,90.21,43,6,11.05,clear sky
335,Riyadh,SA,24.6877,46.7219,78.94,20,0,4.59,clear sky
336,Talara,PE,-4.5772,-81.2719,68.76,68,0,18.41,clear sky
337,Ambon,ID,-3.6954,128.1814,75.34,94,20,3.44,few clouds
338,Santa Cruz Del Sur,CU,20.7147,-77.9956,82.27,66,24,7.85,few clouds
339,Kawalu,ID,-7.3817,108.2082,69.87,98,100,1.25,overcast clouds
340,Monster,NL,52.0258,4.175,61.99,79,100,14.97,overcast clouds
341,Eenhana,NA,-17.4667,16.3333,73.92,13,0,6.31,clear sky
342,Xining,CN,36.6167,101.7667,48.92,77,100,1.01,overcast clouds
343,Naze,JP,28.3667,129.4833,76.12,82,4,6.26,clear sky
344,Maumere,ID,-8.6199,122.2111,79.52,81,71,3.74,broken clouds
345,Chicago,US,41.85,-87.65,75.52,41,75,8.05,broken clouds
